Central Pollution Control Board,,,,
LIST OF CAAQMS STATIONS              Date:14-04-2026,,,,
,,,,
S.No.,State,City,Station Name,Status
101,,,"Jawaharlal Nehru Stadium, Delhi - DPCC",Live
102,,,"Lodhi Road, Delhi - IITM",Inactive
103,,,"Lodhi Road, Delhi - IMD",Live
104,,,"Major Dhyan Chand National Stadium, Delhi - DPCC",Live
105,,,"Mandir Marg, Delhi - DPCC",Live
106,,,"Mundka, Delhi - DPCC",Live
107,,,"NSIT Dwarka, Delhi - CPCB",Live
108,,,"NSUT Jaffarpur, Delhi - DPCC",Live
109,,,"Najafgarh, Delhi - DPCC",Live
110,,,"Narela, Delhi - DPCC",Live
111,,,"Nehru Nagar, Delhi - DPCC",Live
112,,,"New Moti Bagh, Delhi - MHUA",Live
113,,,"North Campus, DU, Delhi - IMD",Live
114,,,"Okhla Phase-2, Delhi - DPCC",Live
115,,,"Patparganj, Delhi - DPCC",Live
116,,,"Punjabi Bagh, Delhi - DPCC",Live
117,,,"Pusa, Delhi - DPCC",Live
118,,,"Pusa, Delhi - IMD",Live
119,,,"R K Puram, Delhi - DPCC",Live
120,,,"Rohini, Delhi - DPCC",Live
121,,,"Shadipur, Delhi - CPCB",Live
122,,,"Sirifort, Delhi - CPCB",Live
123,,,"Sonia Vihar, Delhi - DPCC",Live
124,,,"Sri Aurobindo Marg, Delhi - DPCC",Live
125,,,"Talkatora Garden, Delhi - DPCC",Live
126,,,"Vivek Vihar, Delhi - DPCC",Live
127,,,"Wazirpur, Delhi - DPCC",Live
128,Gujarat,,"Chandkheda, Ahmedabad - IITM",Live
129,,,"Gyaspur, Ahmedabad - IITM",Live
130,,,"Maninagar, Ahmedabad - GPCB",Live
131,,Ahmedabad,"Raikhad, Ahmedabad - IITM",Live
132,,,"Rakhial, Ahmedabad - IITM",Live
133,,,"SAC ISRO Bopal, Ahmedabad - IITM",Live
134,,,"SAC ISRO Satellite, Ahmedabad - IITM",Live
135,,,"SVPI Airport Hansol, Ahmedabad - IITM",Live
136,,,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Inactive
137,,Ankleshwar,"GIDC, Ankleshwar - GPCB",Live
138,,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",Live
139,,,"GIFT City, Gandhinagar - IITM",Live
140,,,"IIPHG Lekawada, Gandhinagar - IITM",Live
141,,,"Sector-10, Gandhinagar - GPCB",Live
142,,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",Live
143,,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",Live
144,,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",Live
145,,,"Katargam, Surat - Nexteng Enviro",Live
146,,,"Science Center, Surat - SMC",Live
147,,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",Live
148,,Vapi,"Phase-1 GIDC, Vapi - GPCB",Live
149,,Vatva,"Phase-4 GIDC, Vatva - GPCB",Live
150,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",Live
151,,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",Live
152,,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",Live
153,,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",Live
154,,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",Live
155,,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",Live
156,,,"New Industrial Town, Faridabad - HSPCB",Live
157,,,"Sector 11, Faridabad - HSPCB",Delay
158,,,"Sector 30, Faridabad - HSPCB",Live
159,,Faridabad,"Sector- 16A, Faridabad - HSPCB",Inactive
160,,Fatehabad,"Huda Sector, Fatehabad - HSPCB",Live
161,,,"NISE Gwal Pahari, Gurugram - IMD",Live
162,,,"Sector-51, Gurugram - HSPCB",Live
163,,,"Teri Gram, Gurugram - HSPCB",Live
164,,Gurugram,"Vikas Sadan, Gurugram - HSPCB",Live
165,,Hisar,"Urban Estate-II, Hisar - HSPCB",Live
166,,Jind,"Police Lines, Jind - HSPCB",Live
167,,Kaithal,"Rishi Nagar, Kaithal - HSPCB",Live
168,,Karnal,"Sector-12, Karnal - HSPCB",Live
169,,Kurukshetra ,"Sector-7, Kurukshetra - HSPCB",Live
170,,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",Live
171,,Manesar,"Sector-2 IMT, Manesar - HSPCB",Live
172,,Narnaul,"Shastri Nagar, Narnaul - HSPCB",Live
173,,Palwal ,"Shyam Nagar, Palwal - HSPCB",Live
174,,Panchgaon,"Amity University, Panchgaon - IITM",Live
175,,Panchkula,"Sector-6, Panchkula - HSPCB ",Live
176,,Panipat,"Sector-18, Panipat - HSPCB",Live
177,,Rohtak,"MD University, Rohtak - HSPCB",Live
178,,Sirsa,"F-Block, Sirsa - HSPCB",Live
179,,Sonipat,"Murthal, Sonipat - HSPCB",Live
180,,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",Live
181,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",Live
182,Jammu and Kashmir,Pampore,"Khrew, Pampore - JKPCC",Live
183,,,"Khunmoh, Srinagar - JKPCC",Inactive
184,,,"Rajbagh, Srinagar - JKPCC",Delay
185,Jharkhand,,"Kalakusuma, Dhanbad - DMC",Inactive
186,,Srinagar,"Sardar Patel Nagar, Dhanbad - JSPCB",Live
187,,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",Live
188,,Pathardih,"Mohalbani Ghat, Pathardih - DMC",Inactive
189,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",Live
190,,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",Inactive
191,,,"BTM Layout, Bengaluru - CPCB",Live
192,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Live
193,,,"Bapuji Nagar, Bengaluru - KSPCB",Live
194,,Bengaluru,"City Railway Station, Bengaluru - KSPCB",Live
195,,,"Hebbal, Bengaluru - KSPCB",Live
196,,,"Hombegowda Nagar, Bengaluru - KSPCB",Live
197,,,"Jayanagar 5th Block, Bengaluru - KSPCB",Live
198,,,"Jigani, Bengaluru - KSPCB",Live
199,,,"Kasturi Nagar, Bengaluru - KSPCB",Live
200,,,"Peenya, Bengaluru - CPCB",Live
201,,,"RVCE-Mailasandra, Bengaluru - KSPCB",Live
202,,,"Sanegurava Halli, Bengaluru - KSPCB",Live
203,,,"Shivapura_Peenya, Bengaluru - KSPCB",Live
204,,,"Silk Board, Bengaluru - KSPCB",Live
205,,Bidar,"Naubad, Bidar - KSPCB",Inactive
206,,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",Live
207,,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Live
208,,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",Live
209,,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",Inactive
