Central Pollution Control Board,,,,
LIST OF CAAQMS STATIONS              Date:14-04-2026,,,,
,,,,
S.No.,State,City,Station Name,Status
437,,,"Mandor, Jodhpur - RSPCB",Live
438,,,"Samrat Ashok Udhyan, Jodhpur - RSPCB",Live
439,,Karauli,"Satyawati Vihar, Karauli - RSPCB",Live
440,,Kota,"Dhanmandi, Kota - RSPCB",Live
441,,,"Nayapura, Kota - RSPCB",Live
442,,,"Shrinath Puram, Kota - RSPCB",Live
443,,Nagaur,"Karni Colony, Nagaur - RSPCB",Live
444,,Pali,"Indira Colony Vistar, Pali - RSPCB",Live
445,,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",Live
446,,Rajsamand,"Dhoinda, Rajsamand - RSPCB",Live
447,,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",Live
448,,Sikar,"Radhakishan Pura, Sikar - RSPCB",Live
449,,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",Live
450,,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",Live
451,,Tonk,"Shastri Nagar, Tonk - RSPCB",Live
452,,Udaipur,"Ashok Nagar, Udaipur - RSPCB",Live
453,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",Live
454,Tamil Nadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB",Inactive
455,,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",Inactive
456,,Chennai,"Alandur Bus Depot, Chennai - CPCB",Inactive
457,,,"Arumbakkam, Chennai - TNPCB",Live
458,,,"Gandhi Nagar_Ennore, Chennai - TNPCB",Inactive
459,,,"Kodungaiyur, Chennai - TNPCB",Live
460,,,"Manali Village, Chennai - TNPCB",Live
461,,,"Manali, Chennai - CPCB",Live
462,,,"Perungudi, Chennai - TNPCB",Live
463,,,"Royapuram, Chennai - TNPCB",Live
464,,,"Velachery Res. Area, Chennai - CPCB",Live
465,,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",Delay
466,,,"SIDCO Kurichi, Coimbatore - TNPCB",Live
467,,Cuddalore,"Kudikadu, Cuddalore - TNPCB",Inactive
468,,,"Semmandalam, Cuddalore - TNPCB",Inactive
469,,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",Inactive
470,,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Live
471,,Hosur,"SIPCOT Phase-1, Hosur - TNPCB",Inactive
472,,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",Inactive
473,,Karur,"Kamadenu Nagar, Karur - TNPCB",Inactive
474,,Madurai,"Uchapatti, Madurai - TNPCB",Live
475,,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB",Inactive
476,,Namakkal,"Ponnusamy Nagar, Namakkal - TNPCB",Inactive
477,,Ooty,"Bombay Castel, Ooty - TNPCB",Live
478,,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB",Inactive
479,,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",Delay
480,,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB",Inactive
481,,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",Inactive
482,,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB",Inactive
483,,Salem,"Sona College of Technology, Salem - TNPCB",Inactive
484,,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",Inactive
485,,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",Live
486,,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",Inactive
487,,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",Inactive
488,,Tirupur,"Kumaran College, Tirupur - TNPCB",Live
489,,Vellore,"Vasanthapuram, Vellore - TNPCB",Inactive
490,,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB",Live
491,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",Inactive
492,,,"Central University, Hyderabad - TSPCB",Live
493,,,"ECIL Kapra, Hyderabad - TSPCB",Live
494,,,"ICRISAT Patancheru, Hyderabad - TSPCB",Inactive
495,,,"IDA Pashamylaram, Hyderabad - TSPCB",Live
496,,,"IITH Kandi, Hyderabad - TSPCB",Delay
497,,,"Kokapet, Hyderabad - TSPCB",Live
498,,,"Kompally Municipal Office, Hyderabad - TSPCB",Delay
499,,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Live
500,,,"New Malakpet, Hyderabad - TSPCB",Live
501,,,"Ramachandrapuram, Hyderabad - TSPCB",Live
502,,,"Sanathnagar, Hyderabad - TSPCB",Live
503,,,"Somajiguda, Hyderabad - TSPCB",Live
504,,,"Zoo Park, Hyderabad - TSPCB",Live
505,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",Live
506,,,"Kunjaban, Agartala - Tripura SPCB",Inactive
507,Uttar Pradesh,Agra,"Manoharpur, Agra - UPPCB",Live
508,,,"Rohta, Agra - UPPCB",Live
509,,,"Sanjay Palace, Agra - UPPCB",Live
510,,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",Live
511,,,"Shahjahan Garden, Agra - UPPCB",Live
512,,,"Shastripuram, Agra - UPPCB",Live
513,,Baghpat,"New Collectorate, Baghpat - UPPCB",Inactive
514,,,"Sardar Patel Inter College, Baghpat - UPPCB",Live
515,,Bareilly,"Civil Lines, Bareilly - UPPCB",Live
516,,,"Rajendra Nagar, Bareilly - UPPCB",Live
517,,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",Live
518,,Firozabad,"Nagla Bhau, Firozabad - UPPCB",Live
519,,,"Vibhab Nagar, Firozabad - UPPCB",Live
520,,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",Live
521,,,"Loni, Ghaziabad - UPPCB",Live
522,,,"Sanjay Nagar, Ghaziabad - UPPCB",Live
523,,,"Vasundhara, Ghaziabad - UPPCB",Live
524,,,"Ved Vihar-Loni, Ghaziabad - UPPCB",Live
525,,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",Live
526,,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",Live
527,,,"Knowledge Park - V, Greater Noida - UPPCB",Live
528,,Hapur,"Anand Vihar, Hapur - UPPCB",Live
529,,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",Live
530,,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",Live
531,,,"IITK, Kanpur - IITK",Inactive
532,,,"NSI Kalyanpur, Kanpur - UPPCB",Live
533,,,"Nehru Nagar, Kanpur - UPPCB",Live
534,,Khora,"Prashant Garden, Khora - UPPCB",Live
535,,Khurja,"Kalindi Kunj, Khurja - UPPCB",Live
536,,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",Live
537,,,"Gomti Nagar, Lucknow - UPPCB",Live
538,,,"Kendriya Vidyalaya, Lucknow - CPCB",Live
539,,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",Live
540,,,"Lalbagh, Lucknow - CPCB",Live
541,,,"Nishant Ganj, Lucknow - UPPCB",Inactive
542,,,"Talkatora District Industries Center, Lucknow - CPCB",Live
543,,Meerut,"Ganga Nagar, Meerut - UPPCB",Live
544,,,"Jai Bhim Nagar, Meerut - UPPCB",Live
545,,,"Pallavpuram Phase 2, Meerut - UPPCB",Live
546,,Modinagar ,"SRM University, Modinagar - UPPCB",Live
547,,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",Live
548,,,"Eco Herbal Park, Moradabad - UPPCB",Live
549,,,"Employment Office, Moradabad - UPPCB",Live
550,,,"Jigar Colony, Moradabad - UPPCB",Live
551,,,"Kashiram Nagar, Moradabad - UPPCB",Live
552,,,"Lajpat Nagar, Moradabad - UPPCB",Inactive
553,,,"Transport Nagar, Moradabad - UPPCB",Live
554,,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",Live
555,,Noida,"Sector - 125, Noida - UPPCB",Live
556,,,"Sector - 62, Noida - IMD",Live
557,,,"Sector-1, Noida - UPPCB",Live
558,,,"Sector-116, Noida - UPPCB",Live
559,,Prayagraj,"Jhunsi, Prayagraj - UPPCB",Live
560,,,"Motilal Nehru NIT, Prayagraj - UPPCB",Live
561,,,"Nagar Nigam, Prayagraj - UPPCB",Live
562,,Raebareli," Indira Nagar, Raebareli - NTPC Unchahar",Live
563,,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",Live
564,,,"Bhelupur, Varanasi - UPPCB",Live
565,,,"IESD Banaras Hindu University, Varanasi - UPPCB",Live
566,,,"Maldahiya, Varanasi - UPPCB",Live
567,,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",Live
568,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",Live
569,,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",Live
570,,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",Live
571,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",Live
572,,,"Evelyn Lodge, Asansol - WBPCB",Live
573,,,"Mahabir Colliery, Asansol - WBPCB",Live
574,,,"Trivenidevi Bhalotia College, Asansol - WBPCB",Live
575,,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",Live
576,,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",Live
577,,,"PCBL Residential Complex, Durgapur - WBPCB",Live
578,,,"Womens College_City Center, Durgapur - WBPCB",Live
579,,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",Live
580,,Howrah,"Belur Math, Howrah - WBPCB",Live
581,,,"Botanical Garden, Howrah - WBPCB",Live
582,,,"Dasnagar, Howrah - WBPCB",Live
583,,,"Ghusuri, Howrah - WBPCB",Live
584,,,"Padmapukur, Howrah - WBPCB",Live
585,,Kolkata,"Ballygunge, Kolkata - WBPCB",Live
586,,,"Bidhannagar, Kolkata - WBPCB",Live
587,,,"Fort William, Kolkata - WBPCB",Live
588,,,"Jadavpur, Kolkata - WBPCB",Live
589,,,"Rabindra Bharati University, Kolkata - WBPCB",Live
590,,,"Rabindra Sarobar, Kolkata - WBPCB",Live
591,,,"Victoria, Kolkata - WBPCB",Live
592,,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",Live
